"Name","model.r_max","model.l_max","model.num_layers","model.num_tensor_features","model.num_scalar_features","model.allegro_mlp_hidden_layers_width","test0_epoch/forces_mae","test0_epoch/forces_rmse","test0_epoch/per_atom_energy_mae","test0_epoch/per_atom_energy_rmse","test0_epoch/total_energy_mae","test0_epoch/stress_mae","test0_epoch/stress_rmse","test0_epoch/weighted_sum","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","val0_epoch/forces_rmse","val0_epoch/per_atom_energy_rmse","val0_epoch/stress_rmse","val0_epoch/weighted_sum"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed2","5","2","2","64","128","512","0.17402549341682255","0.28194108867930245","0.022692932367025628","0.03397027428549039","2.136762379453812","0.007490700382351499","0.015185466802290609","0.1172530935890387","2.177285291136111","0.007363154498553162","0.02360143971933175","0.17888018325676322","0.28620361592307353","0.04028652394393411","0.01590652365015749","0.1204169666450174"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed1","5","2","2","64","128","512","0.1800545902799673","0.285074789473155","0.023742125103968777","0.033497503315054904","2.2455161499798137","0.007327868219620219","0.0143357765759193","0.12117984663937947","2.2655861329758347","0.007255290071727563","0.02384923817476975","0.1847439303815158","0.29039905516151965","0.03844188214237234","0.014746197969348791","0.12424247380320724"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold2_seed0","5","2","2","64","128","512","0.16960887169240774","0.2722125258214031","0.021611763918226005","0.02716627409444295","2.1586134283969565","0.006815148596702026","0.013380266057888763","0.11411097451916004","2.200782090391508","0.006828946048973689","0.022603819683240704","0.17470011817645165","0.28059676006422235","0.03206651210349419","0.014132801291801717","0.11747807078592323"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed2","5","2","2","64","128","512","0.168024539122599","0.27717004007467905","0.020830521837250027","0.02856689697108853","2.0115166148186745","0.00695117328373609","0.01396464544664486","0.11310311592185006","2.020366120155176","0.006795402584545204","0.021420896150148156","0.17807534799013905","0.35401457488020555","0.03142336941973528","0.014331260632520769","0.1196720178982991"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed1","5","2","2","64","128","512","0.17070885867040742","0.2783227242881638","0.022078601445981103","0.0320244485919599","2.119970537221049","0.0073790405070812285","0.014327681380604524","0.11502628352162346","2.109729852294843","0.00714237988976578","0.02244270910954958","0.180826523073131","0.3558640571396783","0.03179965680970221","0.01382912476786814","0.12160958368434532"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold1_seed0","5","2","2","64","128","512","0.1623473273207738","0.2625802704598491","0.021271773812992775","0.028947544525697148","2.0615338432186148","0.006831690826672271","0.013503209578658222","0.109334610664717","2.048658628579208","0.006828455739068328","0.022010406831695382","0.17333331003551153","0.3516581694440639","0.038266058637159345","0.015817841704425514","0.11657088555373658"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed2","5","2","2","64","128","512","0.1797027116297915","0.2852811189969535","0.02227756203760937","0.02936317811481831","2.1509621733940603","0.007623479931574686","0.014814815909138097","0.12102631765548096","2.1561415001651443","0.007541865081669728","0.022440635992169083","0.1850195217040946","0.31912741237892767","0.03335004296941383","0.014941619692663628","0.12449951773998216"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed1","5","2","2","64","128","512","0.17678124603805195","0.28292657525233506","0.02221010539935204","0.02849486530230185","2.175193421113566","0.007189554090347514","0.013957705299782562","0.11896067446790314","2.152538950464347","0.007235703797230987","0.022421627809256904","0.18192135396946252","0.3162100938469914","0.03490275024581674","0.015325485992749265","0.12236028843701524"
"hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512_fold0_seed0","5","2","2","64","128","512","0.16937521775911688","0.2668764714607537","0.02085724613580669","0.02669805820238888","2.062847471027262","0.007102085778865289","0.013753353687978797","0.11404171419162216","2.060505279586946","0.007457286686264664","0.021565969396949346","0.17446329893422993","0.2996870616334044","0.036697108641058025","0.0200671434495777","0.1175153037271719"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed2","5","2","2","64","128","256","0.18530939460658588","0.29263696991206617","0.02360365001734567","0.033364184744920214","2.2575264711303213","0.0076732015228356595","0.015329502121871817","0.12474872918970437","2.3095697773258994","0.007528816924569105","0.024432055336082985","0.19083875292786617","0.2979717910799662","0.038745003880292075","0.015328984927326685","0.12834987006373186"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed1","5","2","2","64","128","256","0.18735633827957127","0.2946454742158767","0.023055335611751195","0.032833220527210716","2.191757965390395","0.007625657890920307","0.014936920141178898","0.12607254864293846","2.2412950112199708","0.007407996140891596","0.02326471695331575","0.19264665776062928","0.3051275438096723","0.036483154511279745","0.014589434535171685","0.1294841777435141"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold2_seed0","5","2","2","64","128","256","0.17887172081830735","0.28410497204022434","0.0226730054796515","0.029437978126304574","2.2136325070499203","0.00673802427915321","0.013217889695364362","0.12019354807070852","2.2664689666122984","0.006949839342711203","0.02345852959623966","0.18376524697806548","0.29089002038317574","0.034290122259458274","0.016372250326235682","0.12349298502720124"
