composition,label,barrier_vasp,barrier_mlip,neb_vasp,neb_mlip
Cr2Ti2V120W2Zr2_98_to_118,gen0,1.5820275999999467,1.1785368674497931,"[0.0, 0.2740917599999193, 1.076756929999874, 1.5820275999999467, 1.196193459999904, 0.38148789999991095, 0.04086248999988129]","[0.0, 0.209004580327246, 0.9895573642866111, 1.1785368674497931, 0.9757697481777541, 0.3030260712787367, 0.08054184488923966]"
Cr2Ti2V120W2Zr2_98_to_118,gen10,1.5820275999999467,1.6270078379557162,"[0.0, 0.2740917599999193, 1.076756929999874, 1.5820275999999467, 1.196193459999904, 0.38148789999991095, 0.04086248999988129]","[0.0, 0.4113589493492782, 1.3002305559027718, 1.6270078379557162, 1.4307164515655586, 0.5730699289449603, 0.12696289456516752]"
Cr4Ti12V107WZr_101_to_97,gen0,0.4423910599998635,0.17987759486800314,"[0.0, 0.06672022999987348, 0.28469917000006717, 0.4423910599998635, 0.39178870000000643, 0.3112902400000621, 0.27860721999991256]","[0.0, -0.0038944324408021203, 0.06176023245075157, 0.17987759486800314, 0.0816895624470817, -0.06339573066497906, -0.12533928242942238]"
Cr4Ti12V107WZr_101_to_97,gen10,0.4423910599998635,0.3639839786369521,"[0.0, 0.06672022999987348, 0.28469917000006717, 0.4423910599998635, 0.39178870000000643, 0.3112902400000621, 0.27860721999991256]","[0.0, 0.0365804641419345, 0.1920297171720904, 0.3310572084085379, 0.3639839786369521, 0.2780867131771174, 0.21073020334688408]"
Cr4Ti7V111W4Zr2_14_to_16,gen0,2.278594489999932,1.7164846285281783,"[0.0, 0.5437981200000195, 1.7894324100000176, 2.278594489999932, 1.7946008199999142, 0.8657404299999598, 0.535755669999844]","[0.0, 0.2255539713903545, 1.1141969992429495, 1.7164846285281783, 1.6944427715698112, 0.8407416540983377, 0.5418181899044612]"
Cr4Ti7V111W4Zr2_14_to_16,gen10,2.278594489999932,2.056729890374072,"[0.0, 0.5437981200000195, 1.7894324100000176, 2.278594489999932, 1.7946008199999142, 0.8657404299999598, 0.535755669999844]","[0.0, 0.4296296771553898, 1.5504601016630204, 2.056729890374072, 1.7855512467017434, 0.8246816963855963, 0.4108141033943866]"
Cr5Ti5V115_17_to_23,gen0,4.697632669999848,4.164755598863394,"[0.0, 0.9317886199999066, 3.518326539999862, 4.697632669999848, 3.478090849999944, 0.934049049999885, 0.022637699999904726]","[0.0, 1.0310886103875418, 2.5166206744759165, 4.164755598863394, 3.527778537859149, 1.6093800020748859, 0.9289332011662736]"
Cr5Ti5V115_17_to_23,gen10,4.697632669999848,4.705399605416687,"[0.0, 0.9317886199999066, 3.518326539999862, 4.697632669999848, 3.478090849999944, 0.934049049999885, 0.022637699999904726]","[0.0, 0.7385830760622412, 3.1057289600330478, 4.705399605416687, 3.161113113666943, 0.7340077258465953, 0.01750155887634719]"
Cr6Ti11V102W6Zr3_60_to_54,gen0,0.40451776000008977,1.045444091575746,"[0.0, 0.06104795000010199, 0.2684213400000317, 0.40451776000008977, 0.18116340999995373, -0.19214108999995005, -0.2918001099999401]","[0.0, 0.4334649814579734, 0.8681036620037048, 1.045444091575746, 0.5970833495596253, 0.021737674083169622, -0.37450574322906505]"
Cr6Ti11V102W6Zr3_60_to_54,gen10,0.40451776000008977,0.5104754056144429,"[0.0, 0.06104795000010199, 0.2684213400000317, 0.40451776000008977, 0.18116340999995373, -0.19214108999995005, -0.2918001099999401]","[0.0, 0.07231963933713814, 0.29877450737444633, 0.5104754056144429, 0.33396656804143277, 0.037201981084081126, -0.1199916853022387]"
Cr6Ti5V107W5Zr2_41_to_17,gen0,0.6958717500001512,0.20181717350942563,"[0.0, 0.1460048399999323, 0.4797294500001499, 0.6958717500001512, 0.39813884000000144, 0.023282650000055582, -0.1082418900000448]","[0.0, 0.0356584997250593, 0.12057230796199292, 0.20181717350942563, 0.0559631608878135, -0.1196739829699709, -0.20612426761454117]"
Cr6Ti5V107W5Zr2_41_to_17,gen10,0.6958717500001512,0.5864767571843004,"[0.0, 0.1460048399999323, 0.4797294500001499, 0.6958717500001512, 0.39813884000000144, 0.023282650000055582, -0.1082418900000448]","[0.0, 0.2186703937711627, 0.49384028948975356, 0.5864767571843004, 0.2712716471173735, -0.04185460283110842, -0.1650421846595691]"
